Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
115,Noel Buck,us USA,MFFW,New England,16,2005,7,3,292,3.2,1,0,1,1,0,0,1,0,0.5,0.5,0.8,1.3,5,11,14,0.31,0,0.31,0.31,0.31,0.14,0.25,0.39,0.14,0.39,Matches,3d47c1ad
116,Adam Buksa,pl POL,FW,New England,25,1996,10,9,815,9.1,7,2,9,7,0,0,3,1,3.7,3.7,0.9,4.6,7,14,46,0.77,0.22,0.99,0.77,0.99,0.41,0.1,0.51,0.41,0.51,Matches,3b676989
117,Teal Bunbury,us USA,FWMF,Nashville,31,1990,17,6,654,7.3,5,0,5,5,0,0,2,0,3.9,3.9,0.7,4.6,4,6,48,0.69,0,0.69,0.69,0.69,0.53,0.1,0.63,0.53,0.63,Matches,3077fce8
118,Cory Burke,jm JAM,FW,Philadelphia,30,1991,33,8,1194,13.3,7,4,11,7,0,0,6,0,5.9,5.9,3.3,9.2,29,33,78,0.53,0.3,0.83,0.53,0.83,0.45,0.25,0.7,0.45,0.7,Matches,39fde61c
119,Kendall Burks,us USA,DF,Chicago Fire,22,1999,4,2,182,2,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,4,0,0,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches,38e88892
120,Handwalla Bwana,so SOM,FW,Nashville,24,1997,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.17,0.17,0,0.17,Matches,b56080ee
121,Brandon Bye,us USA,DF,New England,26,1995,29,29,2565,28.5,2,7,9,2,0,0,3,0,3,3,5.1,8.1,61,88,232,0.07,0.25,0.32,0.07,0.32,0.11,0.18,0.28,0.11,0.28,Matches,9fcd12af
122,Nathan Byrne,eng ENG,DF,Charlotte,29,1992,5,3,290,3.2,0,0,0,0,0,0,0,0,0,0,0,0,7,14,2,0,0,0,0,0,0,0,0,0,0,Matches,c4041fbc
123,Kevin Cabral,fr FRA,FWMF,LA Galaxy,22,1999,33,23,1679,18.7,1,3,4,1,0,0,1,1,5.3,5.3,3.6,8.9,48,31,187,0.05,0.16,0.21,0.05,0.21,0.28,0.19,0.48,0.28,0.48,Matches,42af215b
124,Martín Cáceres,uy URU,DF,LA Galaxy,34,1987,6,5,429,4.8,0,1,1,0,0,0,1,0,0.1,0.1,0,0.1,1,7,1,0,0.21,0.21,0,0.21,0.02,0.01,0.02,0.02,0.02,Matches,e94d79e3
125,Deiber Caicedo,co COL,FWMF,Vancouver,21,2000,16,12,985,10.9,1,2,3,1,0,0,2,0,1.6,1.6,1.7,3.3,31,29,73,0.09,0.18,0.27,0.09,0.27,0.15,0.15,0.3,0.15,0.3,Matches,9bfa2f52
126,Scott Caldwell,us USA,MF,Real Salt Lake,30,1991,26,15,1363,15.1,0,0,0,0,0,0,5,0,0.4,0.4,0.1,0.6,5,65,15,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches,4a54592d
127,Drake Callender,us USA,GK,Inter Miami,24,1997,24,24,2160,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c4d9567d
128,Alexander Callens,pe PER,DF,NYCFC,29,1992,27,27,2386,26.5,5,1,6,5,0,0,7,0,4.4,4.4,0.5,5,47,107,31,0.19,0.04,0.23,0.19,0.23,0.17,0.02,0.19,0.17,0.19,Matches,af34f10d
129,Francisco Calvo,cr CRC,DF,San Jose,29,1992,13,13,1170,13,2,0,2,2,0,0,4,0,1.7,1.7,0.5,2.2,12,68,3,0.15,0,0.15,0.15,0.15,0.13,0.03,0.17,0.13,0.17,Matches,706bd23f
130,Rudy Camacho,fr FRA,DF,CF Montréal,30,1991,28,28,2478,27.5,1,0,1,1,0,0,6,0,0.8,0.8,0.6,1.4,18,107,6,0.04,0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05,Matches,6ad16d47
131,Geoff Cameron,us USA,DF,FC Cincinnati,36,1985,26,24,2113,23.5,0,1,1,0,0,0,6,0,1.2,1.2,0.7,1.9,3,58,3,0,0.04,0.04,0,0.04,0.05,0.03,0.08,0.05,0.08,Matches,1a160ea3
132,Leonardo Campana,ec ECU,FW,Inter Miami,21,2000,26,21,1585,17.6,11,1,12,11,0,0,2,0,8.4,8.4,1.9,10.2,17,32,85,0.62,0.06,0.68,0.62,0.68,0.47,0.11,0.58,0.47,0.58,Matches,bf9c0749
133,George Campbell,us USA,DF,Atlanta Utd,20,2001,20,16,1476,16.4,0,0,0,0,0,0,3,0,0.7,0.7,0.7,1.4,21,63,6,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09,Matches,45e1a597
134,Russell Canouse,us USA,MF,D.C. United,26,1995,18,14,1192,13.2,1,1,2,1,0,0,4,0,0.7,0.7,0.7,1.4,11,41,26,0.08,0.08,0.15,0.08,0.15,0.05,0.05,0.1,0.05,0.1,Matches,ec730d9a
135,Nathan Cardoso,br BRA,DF,San Jose,26,1995,26,26,2271,25.2,3,0,3,3,0,0,8,0,2.8,2.8,0.1,2.9,17,59,3,0.12,0,0.12,0.12,0.12,0.11,0.01,0.12,0.11,0.12,Matches,d4438745
136,Antonio Carlos,br BRA,DF,Orlando City,28,1993,21,18,1625,18.1,0,1,1,0,0,0,6,0,0.7,0.7,0.1,0.8,16,73,5,0,0.06,0.06,0,0.06,0.04,0.01,0.05,0.04,0.05,Matches,949fe1e8
137,Wikelman Carmona,ve VEN,MFFW,NY Red Bulls,18,2003,2,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Matches,cab97dd2
138,Julián Carranza,ar ARG,FW,Philadelphia,21,2000,31,28,2210,24.6,14,6,20,12,2,3,9,1,14.1,11.8,2.5,14.2,28,48,190,0.57,0.24,0.81,0.49,0.73,0.57,0.1,0.67,0.48,0.58,Matches,3e9ae1db
139,Adalberto Carrasquilla,pa PAN,MF,Houston Dynamo,23,1998,32,27,2392,26.6,2,3,5,2,0,0,10,1,2.2,2.2,3.9,6.1,57,177,43,0.08,0.11,0.19,0.08,0.19,0.08,0.14,0.23,0.08,0.23,Matches,f087912d
140,Wilder Cartagena,pe PER,MF,Orlando City,27,1994,8,4,331,3.7,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,2,13,1,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08,Matches,9f0f5d15
141,Javier Casas,us USA,MF,Chicago Fire,18,2003,5,0,38,0.4,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,Matches,2ed8d81b
142,Julio Cascante,cr CRC,DF,Austin,28,1993,32,31,2714,30.2,3,2,5,3,0,0,6,0,3.8,3.8,0.9,4.7,22,143,11,0.1,0.07,0.17,0.1,0.17,0.13,0.03,0.15,0.13,0.15,Matches,cc120b4f
143,Cristian Cásseres Jr.,ve VEN,MF,NY Red Bulls,22,2000,27,24,2200,24.4,2,4,6,2,0,0,10,0,3.2,3.2,3.2,6.5,38,123,67,0.08,0.16,0.25,0.08,0.25,0.13,0.13,0.26,0.13,0.26,Matches,f86fe8c1
144,Valentín Castellanos,ar ARG,FW,NYCFC,23,1998,17,17,1459,16.2,13,2,15,8,5,6,9,0,13.1,9.4,3.7,13.1,30,53,149,0.8,0.12,0.93,0.49,0.62,0.81,0.23,1.04,0.58,0.81,Matches,da76bab4
145,Lucas Cavallini,ca CAN,FW,Vancouver,29,1992,24,16,1516,16.8,9,1,10,7,2,2,9,1,7.1,5.6,2,7.6,27,40,120,0.53,0.06,0.59,0.42,0.47,0.42,0.12,0.54,0.33,0.45,Matches,dd8de641
146,Roman Celentano,us USA,GK,FC Cincinnati,21,2000,27,27,2430,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,42ba8628
147,Darwin Cerén,sv SLV,MF,Houston Dynamo,32,1989,27,11,1128,12.5,0,0,0,0,0,0,8,1,0.4,0.4,1,1.4,11,56,20,0,0,0,0,0,0.03,0.08,0.11,0.03,0.11,Matches,a58de3f0
148,Edwin Cerrillo,us USA,MF,FC Dallas,21,2000,32,20,1892,21,0,0,0,0,0,0,8,0,0.2,0.2,0.4,0.6,14,78,8,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches,bd060315
149,Maikel Chang,cu CUB,MFFW,Real Salt Lake,30,1991,33,24,1835,20.4,2,4,6,2,0,0,3,0,2.5,2.5,4,6.5,35,67,168,0.1,0.2,0.29,0.1,0.29,0.12,0.2,0.32,0.12,0.32,Matches,04cc9edd
150,Maxime Chanot,lu LUX,DF,NYCFC,32,1989,22,16,1441,16,1,1,2,1,0,0,5,0,0.7,0.7,0.1,0.7,12,44,3,0.06,0.06,0.12,0.06,0.12,0.04,0.01,0.05,0.04,0.05,Matches,ca366055
151,Diego Chará,co COL,MF,Portland Timbers,35,1986,28,27,2435,27.1,0,2,2,0,0,0,9,0,0.4,0.4,1.9,2.3,18,135,27,0,0.07,0.07,0,0.07,0.02,0.07,0.08,0.02,0.08,Matches,6260cc9d
152,Yimmi Chará,co COL,MFFW,Portland Timbers,30,1991,34,33,2760,30.7,4,3,7,4,0,0,5,0,5,5,3.6,8.6,59,137,223,0.13,0.1,0.23,0.13,0.23,0.16,0.12,0.28,0.16,0.28,Matches,9df9baab
153,Giorgio Chiellini,it ITA,DF,Los Angeles FC,37,1984,11,9,713,7.9,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,9,51,2,0,0.13,0.13,0,0.13,0.02,0.06,0.08,0.02,0.08,Matches,e85fb9b8
154,Mathieu Choiniere,ca CAN,DFMF,CF Montréal,22,1999,26,15,1379,15.3,2,0,2,2,0,0,1,0,1.1,1.1,1,2.1,28,65,97,0.13,0,0.13,0.13,0.13,0.07,0.06,0.14,0.07,0.14,Matches,017459bb
155,Léo Chú,br BRA,FWMF,Seattle,21,2000,25,8,817,9.1,0,2,2,0,0,0,1,0,2,2,1.1,3.1,27,18,84,0,0.22,0.22,0,0.22,0.22,0.13,0.34,0.22,0.34,Matches,d88ebbe9
156,Kadin Chung,ca CAN,DF,Toronto FC,23,1998,8,5,450,5,0,1,1,0,0,0,1,0,0,0,0.1,0.2,8,13,17,0,0.2,0.2,0,0.2,0.01,0.03,0.04,0.01,0.04,Matches,d616ce40
157,José Cifuentes,ec ECU,MF,Los Angeles FC,22,1999,33,26,2345,26.1,7,6,13,7,0,0,8,0,5.6,5.6,5.2,10.8,50,191,145,0.27,0.23,0.5,0.27,0.5,0.22,0.2,0.42,0.22,0.42,Matches,8c8c07a7
158,Ronaldo Cisneros,mx MEX,FW,Atlanta Utd,25,1997,28,23,1725,19.2,7,1,8,7,0,0,1,0,8.4,8.4,1.3,9.7,27,17,97,0.37,0.05,0.42,0.37,0.42,0.44,0.07,0.51,0.44,0.51,Matches,e526c193
159,Abdoulaye Cissoko,fr FRA,DF,Seattle,22,1999,10,5,409,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,52a6ef30
160,Caden Clark,us USA,FWMF,NY Red Bulls,18,2003,16,3,485,5.4,1,1,2,1,0,0,2,0,0.8,0.8,0.6,1.4,4,13,38,0.19,0.19,0.37,0.19,0.37,0.14,0.11,0.25,0.14,0.25,Matches,6e327d0d
161,Steve Clark,us USA,GK,Houston Dynamo,35,1986,33,33,2905,32.3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ed6320b7
162,Stefan Cleveland,us USA,GK,Seattle,27,1994,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,873fdbdf
163,Jackson Conway,us USA,FWMF,Atlanta Utd,20,2001,3,0,36,0.4,0,0,0,0,0,0,1,0,0.4,0.4,0,0.4,0,0,2,0,0,0,0,0,0.98,0.06,1.03,0.98,1.03,Matches,1cfa6e1a
164,Gabriele Corbo,it ITA,DF,CF Montréal,22,2000,14,13,1132,12.6,0,0,0,0,0,0,3,0,0.3,0.3,0.6,0.9,4,54,1,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07,Matches,091795f2
165,Sergio Córdova,ve VEN,FWMF,Real Salt Lake,24,1997,33,27,2274,25.3,9,1,10,9,0,0,2,0,10.3,10.3,1.8,12.1,25,42,128,0.36,0.04,0.4,0.36,0.4,0.41,0.07,0.48,0.41,0.48,Matches,229cd98a
166,Carlos Coronel,br BRA,GK,NY Red Bulls,25,1996,33,33,2970,33,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5c07e176
167,Washington Corozo,ec ECU,MFFW,Austin,23,1998,3,0,51,0.6,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.8,1,1,4,0,1.76,1.76,0,1.76,0.32,1.06,1.37,0.32,1.37,Matches,1391217a
168,Guzmán Corujo,uy URU,DF,Charlotte,25,1996,25,25,2063,22.9,1,0,1,1,0,0,4,0,1.2,1.2,0.4,1.6,11,59,3,0.04,0,0.04,0.04,0.04,0.05,0.02,0.07,0.05,0.07,Matches,5c6051ad
169,Douglas Costa,br BRA,MFFW,LA Galaxy,31,1990,27,16,1408,15.6,4,1,5,3,1,1,3,2,3,2.2,3.7,5.9,83,118,136,0.26,0.06,0.32,0.19,0.26,0.19,0.24,0.43,0.14,0.38,Matches,4fa7cb9b
170,Séga Coulibaly,fr FRA,DF,LA Galaxy,25,1996,27,24,2148,23.9,1,0,1,1,0,0,8,0,1.6,1.5,0.1,1.6,8,63,4,0.04,0,0.04,0.04,0.04,0.07,0,0.07,0.06,0.07,Matches,dab9537e
171,Cade Cowell,us USA,FWMF,San Jose,18,2003,31,15,1554,17.3,3,3,6,3,0,0,2,0,3.3,3.3,1.6,4.9,58,34,160,0.17,0.17,0.35,0.17,0.35,0.19,0.1,0.29,0.19,0.29,Matches,f8e95f87
172,Brandan Craig,us USA,MF,Philadelphia,17,2004,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4d0f7cb3
173,Maxime Crépeau,ca CAN,GK,Los Angeles FC,27,1994,33,33,2970,33,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ea42e480
174,Domenico Criscito,it ITA,DF,Toronto FC,35,1986,15,14,1187,13.2,1,0,1,1,0,0,4,0,0.6,0.6,1.4,2,23,90,45,0.08,0,0.08,0.08,0.08,0.05,0.11,0.15,0.05,0.15,Matches,35dd6d80
175,Daniel Crisostomo,us USA,MF,Los Angeles FC,25,1997,2,0,30,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,33fdd2aa
176,Cody Cropper,us USA,GK,Vancouver,28,1993,15,14,1236,13.7,0,1,1,0,0,0,1,0,0,0,0.1,0.1,0,0,0,0,0.07,0.07,0,0.07,0,0.01,0.01,0,0.01,Matches,aa133046
177,Allan Cruz,cr CRC,MF,FC Cincinnati,25,1996,11,4,403,4.5,0,0,0,0,0,0,4,1,0.7,0.7,0.5,1.2,2,18,11,0,0,0,0,0,0.15,0.12,0.27,0.15,0.27,Matches,030105a5
178,Andrés Cubas,py PAR,MF,Vancouver,25,1996,18,17,1349,15,1,0,1,1,0,0,2,0,0.3,0.3,0.2,0.6,4,79,10,0.07,0,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04,Matches,9b40a6ea
179,Cucho,co COL,FW,Columbus Crew,22,1999,16,14,1298,14.4,9,2,11,9,0,0,3,0,6.7,6.7,1.3,8,46,69,104,0.62,0.14,0.76,0.62,0.76,0.46,0.09,0.56,0.46,0.56,Matches,71b47ab9
180,Rafael Czichos,de GER,DF,Chicago Fire,31,1990,26,26,2331,25.9,3,0,3,3,0,0,8,1,2.7,2.7,0.8,3.5,18,88,6,0.12,0,0.12,0.12,0.12,0.1,0.03,0.13,0.1,0.13,Matches,b0a0698b
181,Cristián Dajome,co COL,DFMF,Vancouver,28,1994,28,18,1797,20,2,4,6,2,0,1,5,1,3.1,2.3,2.9,5.2,71,87,164,0.1,0.2,0.3,0.1,0.3,0.15,0.14,0.3,0.12,0.26,Matches,a065e877
182,Jesús Daniel Bueno,ve VEN,MF,Philadelphia,22,1999,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches,b5687b08
183,Abu Danladi,gh GHA,FWMF,Minnesota Utd,26,1995,19,6,634,7,2,0,2,2,0,0,1,0,1.2,1.2,0.7,1.9,11,15,55,0.28,0,0.28,0.28,0.28,0.17,0.1,0.27,0.17,0.27,Matches,507383d1
184,Bode Davis,us USA,MFFW,Real Salt Lake,19,2002,6,0,91,1,1,0,1,1,0,0,0,0,0.2,0.2,0.4,0.6,6,5,16,0.99,0,0.99,0.99,0.99,0.17,0.4,0.57,0.17,0.57,Matches,891f8b82
185,Jake Davis,us USA,MFFW,Sporting KC,20,2002,3,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,79d3a503
186,Sean Davis,us USA,MF,Nashville,28,1993,34,32,2835,31.5,1,1,2,1,0,0,4,0,0.9,0.9,0.6,1.5,20,122,39,0.03,0.03,0.06,0.03,0.06,0.03,0.02,0.05,0.03,0.05,Matches,cb75cac9
187,Miloš Degenek,au AUS,DF,Columbus Crew,27,1994,28,24,2236,24.8,0,0,0,0,0,0,2,0,0.8,0.8,0.3,1.1,12,68,1,0,0,0,0,0,0.03,0.01,0.05,0.03,0.05,Matches,c8e65157
188,Alex DeJohn,us USA,DF,Atlanta Utd,30,1991,5,4,416,4.6,0,0,0,0,0,0,0,0,0.8,0.8,0,0.8,4,13,1,0,0,0,0,0,0.17,0,0.17,0.17,0.17,Matches,2a6c024c
189,A.J. DeLaGarza,gu GUM,DFMF,New England,34,1987,4,4,290,3.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,12,7,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,171b3c37
190,Marky Delgado,us USA,MF,LA Galaxy,26,1995,29,29,2515,27.9,2,2,4,1,1,1,5,1,1.5,0.7,2,2.7,24,258,81,0.07,0.07,0.14,0.04,0.11,0.05,0.07,0.12,0.02,0.1,Matches,7f6a25b7
191,Nick DePuy,us USA,DF,LA Galaxy,27,1994,18,14,1292,14.4,0,0,0,0,0,0,6,0,0.8,0.7,0.2,0.9,0,26,2,0,0,0,0,0,0.05,0.01,0.07,0.05,0.06,Matches,ba7b4e67
192,Silvester van der Water,nl NED,FW,Orlando City,25,1996,4,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches,5d83500d
193,Joey DeZart,us USA,DF,Orlando City,23,1998,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,9d7142a6
194,Luis Díaz,cr CRC,FW,Columbus Crew,23,1998,26,17,1531,17,3,5,8,3,0,0,6,1,1.8,1.8,2.6,4.5,81,35,185,0.18,0.29,0.47,0.18,0.47,0.11,0.15,0.26,0.11,0.26,Matches,1c9838aa
195,Bakaye Dibassy,ml MLI,DF,Minnesota Utd,32,1989,26,26,2256,25.1,1,0,1,1,0,0,4,0,0.9,0.9,0.2,1.1,21,61,11,0.04,0,0.04,0.04,0.04,0.04,0.01,0.04,0.04,0.04,Matches,247accfd
196,Clément Diop,sn SEN,GK,Inter Miami,28,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0d5c0218
197,Sofiane Djeffal,fr FRA,MF,D.C. United,22,1999,28,19,1686,18.7,0,1,1,0,0,0,3,0,0.5,0.5,0.5,1.1,13,83,6,0,0.05,0.05,0,0.05,0.03,0.03,0.06,0.03,0.06,Matches,29d85f83
198,Moussa Djitte,sn SEN,FW,Austin,22,1999,17,3,462,5.1,4,2,6,4,0,0,2,1,2.6,2.6,0.7,3.3,6,2,19,0.78,0.39,1.17,0.78,1.17,0.51,0.14,0.65,0.51,0.65,Matches,627b570a
199,Ethan Dobbelaere,us USA,DFMF,Seattle,19,2002,8,2,273,3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,8,6,20,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09,Matches,1e772b7c
200,Cecilio Domínguez,py PAR,FWMF,Austin,27,1994,4,4,280,3.1,2,0,2,2,0,0,1,0,1.1,1.1,0.8,1.8,8,5,30,0.64,0,0.64,0.64,0.64,0.34,0.25,0.59,0.34,0.59,Matches,3162d667
201,Christopher Donovan,us USA,FW,Philadelphia,21,2000,6,1,108,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,2,10,0,0,0,0,0,0.12,0.05,0.17,0.12,0.17,Matches,8f995d10
202,Griffin Dorsey,us USA,DF,Houston Dynamo,22,1999,27,19,1644,18.3,1,1,2,1,0,0,7,0,0.7,0.7,1.3,2,56,57,78,0.05,0.05,0.11,0.05,0.11,0.04,0.07,0.11,0.04,0.11,Matches,c182ca04
203,Hassani Dotson,us USA,DFMF,Minnesota Utd,24,1997,7,7,630,7,1,2,3,1,0,0,1,0,1,1,0.6,1.6,10,28,11,0.14,0.29,0.43,0.14,0.43,0.15,0.08,0.23,0.15,0.23,Matches,8f2af1ed
204,Sebastián Driussi,ar ARG,MF,Austin,25,1996,34,32,2876,32,22,5,27,18,4,4,6,0,16,13,4.5,17.5,54,158,174,0.69,0.16,0.84,0.56,0.72,0.5,0.14,0.64,0.41,0.55,Matches,60e86875
205,Bryce Duke,us USA,MFFW,Inter Miami,20,2001,28,16,1478,16.4,1,4,5,1,0,0,5,0,2.3,2.3,1.8,4.1,25,83,58,0.06,0.24,0.3,0.06,0.3,0.14,0.11,0.25,0.14,0.25,Matches,59557625
206,Cameron Duke,us USA,MFFW,Sporting KC,20,2001,26,13,1227,13.6,0,2,2,0,0,0,5,1,1.7,1.7,1.8,3.4,46,40,70,0,0.15,0.15,0,0.15,0.12,0.13,0.25,0.12,0.25,Matches,c679d9fd
207,Kyle Duncan,us USA,DFMF,NY Red Bulls,24,1997,9,6,593,6.6,0,0,0,0,0,0,4,1,0.1,0.1,0.4,0.6,17,28,41,0,0,0,0,0,0.02,0.07,0.09,0.02,0.09,Matches,575e6cb1
208,Jhon Durán,co COL,FW,Chicago Fire,18,2003,27,14,1367,15.2,8,3,11,8,0,0,7,1,8,8,1.8,9.7,29,21,93,0.53,0.2,0.72,0.53,0.72,0.53,0.12,0.64,0.53,0.64,Matches,414184f7
209,Chris Durkin,us USA,MF,D.C. United,21,2000,29,24,2242,24.9,1,4,5,1,0,0,6,1,1.1,1.1,3.4,4.4,36,145,76,0.04,0.16,0.2,0.04,0.2,0.04,0.14,0.18,0.04,0.18,Matches,0ffd4373
210,Dom Dwyer,us USA,FW,Atlanta Utd,31,1990,22,5,617,6.9,4,0,4,4,0,0,6,1,3.9,3.9,0.6,4.5,6,12,41,0.58,0,0.58,0.58,0.58,0.57,0.09,0.65,0.57,0.65,Matches,bdfc15f8
211,Jeremy Ebobisse,us USA,FW,San Jose,24,1997,34,34,2944,32.7,17,2,19,15,2,2,0,0,15.2,13.6,2.4,16.1,29,81,192,0.52,0.06,0.58,0.46,0.52,0.46,0.07,0.54,0.42,0.49,Matches,5fa7b2ec
212,Daniel Edelman,us USA,MF,NY Red Bulls,18,2003,16,10,993,11,1,0,1,1,0,0,4,0,0.5,0.5,0.2,0.7,3,52,7,0.09,0,0.09,0.09,0.09,0.05,0.02,0.06,0.05,0.06,Matches,a8de0bd5
213,Javier Eduardo López,mx MEX,MFFW,San Jose,27,1994,4,3,234,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,4,10,13,0.38,0,0.38,0.38,0.38,0.12,0.06,0.17,0.12,0.17,Matches,f851b52f
214,Earl Edwards Jr.,us USA,GK,New England,30,1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,10f6f942
215,Raheem Edwards,ca CAN,DF,LA Galaxy,26,1995,30,27,2275,25.3,1,3,4,1,0,0,5,0,1.3,1.3,2.3,3.5,81,111,118,0.04,0.12,0.16,0.04,0.16,0.05,0.09,0.14,0.05,0.14,Matches,b828d56a
216,Tom Edwards,eng ENG,DF,NY Red Bulls,23,1999,20,19,1656,18.4,0,0,0,0,0,0,6,0,0.5,0.5,0.7,1.2,19,67,19,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,Matches,1b780599
217,Jack Elliott,eng ENG,DF,Philadelphia,26,1995,32,32,2860,31.8,2,1,3,2,0,0,3,0,3.1,3.1,0.9,4,8,67,6,0.06,0.03,0.09,0.06,0.09,0.1,0.03,0.13,0.1,0.13,Matches,041deebd
218,Kalil ElMedkhar,us USA,FWMF,FC Dallas,22,1999,5,1,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,272c1aaf
219,Franco Escobar,ar ARG,DF,Los Angeles FC,26,1995,19,13,1156,12.8,1,1,2,1,0,0,3,0,0.5,0.5,0.9,1.4,11,49,59,0.08,0.08,0.16,0.08,0.16,0.04,0.07,0.11,0.04,0.11,Matches,54f33d0e
220,Cristian Espinoza,ar ARG,FWMF,San Jose,26,1995,34,33,2848,31.6,7,9,16,2,5,5,4,0,7.7,3.8,9.7,13.5,86,76,335,0.22,0.28,0.51,0.06,0.35,0.24,0.31,0.55,0.12,0.43,Matches,9c794a80
221,Jhon Espinoza,ec ECU,DFFW,Chicago Fire,22,1999,19,3,493,5.5,0,0,0,0,0,0,5,0,0.6,0.6,0.4,1,7,12,19,0,0,0,0,0,0.1,0.08,0.18,0.1,0.18,Matches,79666d5a
222,Roger Espinoza,hn HON,MF,Sporting KC,35,1986,30,25,1868,20.8,2,1,3,2,0,0,11,1,2.3,2.3,2,4.3,25,120,50,0.1,0.05,0.14,0.1,0.14,0.11,0.09,0.21,0.11,0.21,Matches,60b7c195
223,Lucas Esteves,br BRA,DFMF,Colorado Rapids,21,2000,30,24,2270,25.2,1,2,3,1,0,0,5,1,1.7,1.7,2.5,4.2,58,76,150,0.04,0.08,0.12,0.04,0.12,0.07,0.1,0.17,0.07,0.17,Matches,c6ec0258
224,Michael Estrada,ec ECU,FW,D.C. United,25,1996,16,11,861,9.6,4,3,7,3,1,1,1,0,3.3,2.5,2,4.5,11,15,32,0.42,0.31,0.73,0.31,0.63,0.35,0.2,0.55,0.27,0.47,Matches,773f5f12
225,Derrick Etienne,ht HAI,FWDF,Columbus Crew,25,1996,33,25,2216,24.6,9,6,15,9,0,0,6,0,7.2,7.2,4,11.2,98,65,214,0.37,0.24,0.61,0.37,0.61,0.29,0.16,0.45,0.29,0.45,Matches,59059f1e
226,Diego Fagúndez,uy URU,FW,Austin,26,1995,34,32,2703,30,6,12,18,6,0,0,4,0,3.8,3.8,7.9,11.7,52,115,300,0.2,0.4,0.6,0.2,0.6,0.13,0.26,0.39,0.13,0.39,Matches,fe81682e
